term,pos,notes,is_case_sensitive,translation_af,notes_af,translation_ar,notes_ar,translation_ar_eg,notes_ar_eg,translation_ar_iq,notes_ar_iq,translation_az,notes_az,translation_az_az,notes_az_az,translation_bn,notes_bn,translation_bn_bd,notes_bn_bd,translation_bn_in,notes_bn_in,translation_ca,notes_ca,translation_cmn,notes_cmn,translation_cs,notes_cs,translation_da,notes_da,translation_de,notes_de,translation_el,notes_el,translation_en_gb,notes_en_gb,translation_en_us,notes_en_us,translation_es,notes_es,translation_es_419,notes_es_419,translation_es_ar,notes_es_ar,translation_es_co,notes_es_co,translation_es_es,notes_es_es,translation_es_mx,notes_es_mx,translation_et,notes_et,translation_fa,notes_fa,translation_fi,notes_fi,translation_fr,notes_fr,translation_hi,notes_hi,translation_hi_in,notes_hi_in,translation_hu,notes_hu,translation_id,notes_id,translation_id_id,notes_id_id,translation_it,notes_it,translation_it_it,notes_it_it,translation_ja,notes_ja,translation_ka,notes_ka,translation_kn,notes_kn,translation_ko,notes_ko,translation_ko_kr,notes_ko_kr,translation_ky,notes_ky,translation_lo_la,notes_lo_la,translation_lt,notes_lt,translation_mn,notes_mn,translation_mr,notes_mr,translation_mr_in,notes_mr_in,translation_ms,notes_ms,translation_my,notes_my,translation_nb,notes_nb,translation_ne,notes_ne,translation_nl,notes_nl,translation_pa,notes_pa,translation_pl,notes_pl,translation_pl_pl,notes_pl_pl,translation_ps,notes_ps,translation_pt,notes_pt,translation_pt_br,notes_pt_br,translation_pt_mz,notes_pt_mz,translation_pt_pt,notes_pt_pt,translation_ro,notes_ro,translation_ru,notes_ru,translation_ru_ru,notes_ru_ru,translation_si_lk,notes_si_lk,translation_sq_al,notes_sq_al,translation_sv,notes_sv,translation_te,notes_te,translation_tr,notes_tr,translation_tzm,notes_tzm,translation_uk,notes_uk,translation_uk_ua,notes_uk_ua,translation_ur,notes_ur,translation_vi,notes_vi,translation_zh,notes_zh,translation_zh-hans,notes_zh-hans,translation_zh_cn,notes_zh_cn,translation_zh_hk,notes_zh_hk,translation_zh_sg,notes_zh_sg,translation_zh_tw,notes_zh_tw
pattern matching,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,パターンマッチ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,correspondência de padrões,,,,correspondência de padrões,,,,сопоставление с шаблоном,,,,,,,,,,,,,,,,,,pattern matching,,,,,,,,,,模式匹配,,,,,,,
pdb,noun,python debuger,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pdb,Gênero masculino,,,pdb,,,,pdb,,,,,,,,,,,,,,,,pdb,,pdb,,,,,,pdb,,,,Python调试器,,,,,,,
performance,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wydajność,,,,,,,,desempenho,,,,desempenho,,,,производительность,,,,,,,,,,,,,,,,,,performance,,,,,,,,,,性能,,,,,,,
pipe||pipes,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pipe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,encadeamento||encadeamentos,,,,tubo||tubos||pipes||pipe,,,,канал,,,,,,,,,,,,,,,,,,pipe||pipes,,,,,,,,,,管道,,,,,,,
place-holder||placeholder||placeholders,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,placeholder,,,,,,,,espaço reservado||espaços reservados,,,,espaço reservado||espaços reservados||marcadores||marcador||placeholders,,,,заглушка,,,,,,,,,,,,,,,,,,place-holder||placeholder||placeholders,,,,,,,,,,占位符,,,,,,,
pointer||pointers,noun,"a variable that stores the address of another variable, unlike other variables that hold values of a certain type.",false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ポインタ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ponteiro||ponteiros||cursor||cursores,"uma variável que armazena o endereço de outra variável, diferentemente de outas variáveis que armazenam valores de um certo tipo.

Use ""cursor"" para um contexto de ""mouse pointer"".",,,ponteiro||ponteiros||pointer||pointers||referências||referência||links,,,,указатель,,,,,,,,,,,,,,,,вказівник,,pointer||pointers,,,,,,,,,,指针,,,,,,,
polar coordinate,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coordenada polar,,,,coordenada polar,,,,полярные координаты,,,,,,,,,,,,,,,,,,polar coordinate,,,,,,,,,,极坐标,,,,,,,
portion,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,porção,,,,porção||parte,,,,порция||доля||часть,,,,,,,,,,,,,,,,,,portion,,,,,,,,,,部分,,,,,,,
positional-only,adjective,See Veja https://docs.python.org/3/glossary.html#positional-only-parameter,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,位置専用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,somente-posicional||somente-posicionais,Veja Veja https://docs.python.org/pt-br/3/glossary.html#positional-only-parameter,,,somente-posicionais||somente-posicional||apenas posicional||apenas posicionais||apenas-posicional||apenas-posicionais,,,,только-позиционный,О параметре функции.,,,,,,,,,,,,,,,,,positional-only,,,,,,,,,,仅限位置,,,,,,,
positional-only paramenters||positional-only paramenter,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,parâmetros somente-posicionais||parâmetro somente-posicional,,,,parâmetros somente-posicionais||parâmetro somente-posicional,,,,только-позиционные параметры,,,,,,,,,,,,,,,,,,positional-only paramenters||positional-only paramenter,,,,,,,,,,仅限位置参数,,,,,,,
positive assertion,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,asserção positiva,,,,afirmação positiva,,,,,,,,,,,,,,,,,,,,,,positive assertion,,,,,,,,,,肯定型断言,,,,,,,
positive lookahead,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lookahead positivo||antevisão positiva,,,,,,,,,,,,,,,,,,,,,,positive lookahead,,,,,,,,,,肯定型前视,"lookahead 和 lookbehind ，统称为 lookahead 。lookahead 有个比较通用的翻译叫做“环视”。那么，lookahead 译做“前视”，lookbehind 译做“后视”是比较自然贴切的。而修饰断言的 positive 和 negative 则分别译为“肯定型”和“否定型”。

在英文中，提及环视结构时，zero-width, positive, assertion 这几个词都是可选的，但国内的翻译都基本固定带有“断言”或者“零宽”，无法一一对应英文原文的行文习惯。

“前视”、“肯定型前视”、“前视断言”、“零宽前视断言”这样的翻译则能很好对应原文用词。",,,,,,
positive lookahead assertion,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,afirmação de antevisão positiva||afirmação de retrovisão positiva,,,,,,,,,,,,,,,,,,,,,,positive lookahead assertion,,,,,,,,,,肯定型前视断言,"lookahead 和 lookbehind ，统称为 lookahead 。lookahead 有个比较通用的翻译叫做“环视”。那么，lookahead 译做“前视”，lookbehind 译做“后视”是比较自然贴切的。而修饰断言的 positive 和 negative 则分别译为“肯定型”和“否定型”。

在英文中，提及环视结构时，zero-width, positive, assertion 这几个词都是可选的，但国内的翻译都基本固定带有“断言”或者“零宽”，无法一一对应英文原文的行文习惯。

“前视”、“肯定型前视”、“前视断言”、“零宽前视断言”这样的翻译则能很好对应原文用词。",,,,,,
positive lookbehind,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lookbehind positivo||retrovisão positiva,,,,,,,,,,,,,,,,,,,,,,positive lookbehind,,,,,,,,,,肯定型后视,"lookahead 和 lookbehind ，统称为 lookahead 。lookahead 有个比较通用的翻译叫做“环视”。那么，lookahead 译做“前视”，lookbehind 译做“后视”是比较自然贴切的。而修饰断言的 positive 和 negative 则分别译为“肯定型”和“否定型”。

在英文中，提及环视结构时，zero-width, positive, assertion 这几个词都是可选的，但国内的翻译都基本固定带有“断言”或者“零宽”，无法一一对应英文原文的行文习惯。

“前视”、“肯定型前视”、“前视断言”、“零宽前视断言”这样的翻译则能很好对应原文用词。",,,,,,
positive lookbehind assertion,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,afirmação de retrovisão positiva,,,,,,,,,,,,,,,,,,,,,,positive lookbehind assertion,,,,,,,,,,肯定型后视断言,"lookahead 和 lookbehind ，统称为 lookahead 。lookahead 有个比较通用的翻译叫做“环视”。那么，lookahead 译做“前视”，lookbehind 译做“后视”是比较自然贴切的。而修饰断言的 positive 和 negative 则分别译为“肯定型”和“否定型”。

在英文中，提及环视结构时，zero-width, positive, assertion 这几个词都是可选的，但国内的翻译都基本固定带有“断言”或者“零宽”，无法一一对应英文原文的行文习惯。

“前视”、“肯定型前视”、“前视断言”、“零宽前视断言”这样的翻译则能很好对应原文用词。",,,,,,
precede,verb,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,preceder,,,,preceder||precedê-los||preceda-o||precedem||preceda||precederá,,,,,,,,,,,,,,,,,,,,,,precede,,,,,,,,,,先于,,,,,,,
preferred system encoding,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,優先システムエンコーディング,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,codificação de sistema preferida,,,,codificação de sistema preferencial,,,,предпочитаемая системная кодировка,,,,,,,,,,,,,,,,,,preferred system encoding,,,,,,,,,,首选系统编码,系统偏好编码,,,,,,
process||processes,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,przetwarzanie/proces,,,,,,,,processo||processos,,,,processo||processos||process||processam,,,,процесс,,,,,,,,,,,,,,,,процес,,process||processes,,,,,,,,,,进程||过程,,,,,,,
process||processes,verb,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,processar||processam||processa,,,,processar||processa||process||processam,,,,обрабатывать,,,,,,,,,,,,,,,,обробляти,,process||processes,,,,,,,,,,处理,,,,,,,
production rule,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,regra de produção,,,,regra de produção,,,,правило вывода,,,,,,,,,,,,,,,,,,production rule,,,,,,,,,,产生式,,,,,,,
operating system||operating systems,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,オペレーティングシステム||OS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sistema operacional||sistemas operacionais,,,,sistema operativo||sistemas operativos,,,,свойства,,,,,,,,,,,,,,,,,,operating system||operating systems,,,,,,,,,,属性||特性,区分于 attribute，property 的作用是使某些属性有特殊的行为。,,,,,,
property||properties,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,プロパティ||属性||性質,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,właściwość,,,,,,,,propriedade||propriedades,,,,propriedade||propriedades||property||properties,,,,свойство,,,,,,,,,,,,,,,,,,property||properties,,,,,,,,,,属性||特性,区分于 attribute，property 的作用是使某些属性有特殊的行为。,,,,,,
protocol,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,プロトコル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,protokół,,,,,,,,protocolo,,,,protocolo||protocol,,,,протокол,,,,,,,,,,,,,,,,протокол,,protocol,,,,,,,,,,协议,,,,,,,
provisional,adjective,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,暫定,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tymczasowy,,,,,,,,provisório,,,,provisório||provisória||provisórias||provisórios,,,,предварительный,,,,,,,,,,,,,,,,,,provisional,,,,,,,,,,暂定,,,,,,,
provisional API,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tymczasowy interfejs API,,,,,,,,API provisória,,,,API provisória,,,,предварительный API,,,,,,,,,,,,,,,,,,provisional API,,,,,,,,,,暂定API,,,,,,,
provisional package,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakiet tymczasowy,,,,,,,,pacote provisório,,,,pacote provisório,,,,предварительный пакет,,,,,,,,,,,,,,,,,,provisional package,,,,,,,,,,暂定包,,,,,,,
pure path,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,純粋パス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,czysta ścieżka,,,,,,,,caminho puro,,,,caminho puro,,,,чистый путь,,,,,,,,,,,,,,,,,,pure path,,,,,,,,,,纯路径,纯路径,,,,,,
purpose||purposes,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cel,,,,,,,,propósito||propósitos||finalidade||finalidades||objetivo,,,,propósito||propósitos||fins||fim||uso||objetivo||Finalidade,,,,предназначение||цель,,,,,,,,,,,,,,,,мета,,purpose||purposes,,,,,,,,,,目的,,,,,,,
qualified name||totally qualified name,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nome qualificado||nome totalmente qualificado,,,,nome qualificado||nome totalmente qualificado,,,,полное имя,,,,,,,,,,,,,,,,,,qualified name||totally qualified name,,,,,,,,,,限定名称,,,,,,,
qualifier,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,修飾子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qualificador,,,,qualificador,,,,квалификатор,,,,,,,,,,,,,,,,,,qualifier,,,,,,,,,,限定符,,,,,,,
quote,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,シングルクォート||クォート,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cudzysłów,,,,,,,,citação||aspas,,,,citação||quote||aspas||aspa,,,,кавычка||цитата,,,,,,,,,,,,,,,,цитата,,quote,,,,,,,,,,引号,,,,,,,
quotechar,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,caractere de citação,,,,,,,,,,,,,,,,,,,,,,quotechar,,,,,,,,,,引号字符,,,,,,,
raise||raises||raised||raising,verb,To raise an exception or error.,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,送出||発生,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rzucić,,,,,,,,levanta||levantada||levantadas||levantando||levantar||levantam||levantará||levantavam||levantou||levantava||levantarão,"No sentido de “levantar uma exceção” (“lançar uma exceção” é mais frequente que “levantar uma exceção” segundo o Google, mas isso é porque em Java, JavaScript e PHP o comando chama-se “throw”, que é lançar; em Python usamos “raise”, que é levantar [pense em um bandeirinha sinalizando uma falta no futebol])",,,levantar||levanta||levantada||levantam||levante||levantado||levantando||gerar||gera||gere||levantou||levantadas||gerada||gerado||geram||gerará||levantará||geradas||raise||levantaria||levantarão||relançá-la||Lançamento||lançada||relançada||relançadas||relançado||relançados||lançar||lançadas||falha||levantavam||levantava||levantamento||levantados||lançam||exceção||Lança||lançará||Gerados||gerava||raised,,,,возбудить||породить,Об исключении или о событии аудита соответственно.,,,,,,,,,,,,,,,,,raise||raises||raised||raising,,,,,,抛出,仅与error连用时翻译为抛出。指引发一个error。,,,引发,引起、触发、引发异常。,,,,,,
raw string||raw strings,noun,,false,,,,,,,,,,,,,,,,,,,,,,,raw řetězec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw string||生の文字列||Raw 文字列,通常は「raw string」、astの場合は「生の文字列」で訳されているようです。「Raw 文字列」「raw 文字列」「raw リテラル」なども使用例あり。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,string bruta||strings brutas,"Existe uma quantidade de ocorrências desse termo na internet. Bem mais que ""string crua"", que seria uma outra opção.",,,raw string||raw strings,,,,сырая строка||сырые строки||необработанная строка||необработанные строки,,,,,,,,,,,,,,,,,,raw string||raw strings,,,,,,,,,,原生字符串,,,,,,,
read-only,adjective,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,読み出し専用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tylko do odczytu,,,,,,,,somente leitura,"Debatido e decidido em conjunto entre a equipe de tradutores, então, por favor, NÃO use ""somente-leitura"".",,,só de leitura||read-only||apenas de leitura||apenas leitura,,,,"только-для-чтения, только-на-чтение",,,,,,,,,,,,,,,,,,read-only,,,,,,,,,,只读,,,,,,,
read-write,adjective,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,do odczytu i zapisu,,,,,,,,leitura e escrita,,,,leitura e escrita||read-write||leitura-escrita,,,,для чтения и записи,,,,,,,,,,,,,,,,,,read-write,,,,,,,,,,可读写,,,,,,,
refactor,verb,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,refatorar,,,,refatorar||refatoração,,,,рефакторить,,,,,,,,,,,,,,,,рефакторити,,refactor,,,,,,,,,,重构,,,,,,,
reference||references,noun,,false,,,مرجع,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,参照||リファレンス,,,,,,참조,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,referência||referências,,,,referência||referências||referenciar||referenciam||refere-se,,,,ссылка||отсылка,,,,,,,,,,,,referans,,,,посилання,,reference||references,,,,,,,,,,参考||引用,引用,,,,,,
reference count||reference counting||reference counts,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,参照カウント,,,,,,참조 횟수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,contagem de referências||contagens de referências||contador de referências,,,,reference count||reference counting||reference counts||contagens de referências||contagem de referência||contador de referências||contagem de referências||referências||contagens de referência,,,,счётчик ссылок,,,,,,,,,,,,referans sayısı,,,,кількість посилань,,reference count||reference counting||reference counts,,,,,,,,,,引用计数,,,,,,,
reference cycle||reference cycles,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ciclo de referência||ciclos de referência,,,,ciclo de referência||ciclos de referência||Reference cycle,,,,ссылочный цикл,,,,,,,,,,,,,,,,цикл посилань,,reference cycle||reference cycles,,,,,,,,,,循环引用,,,,,,,
regular functions,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,funções regulares,,,,funções regulares||funções normais,,,,обычные функции,,,,,,,,,,,,,,,,,,regular functions,,,,,,,,,,常规函数,,,,,,,
regular package,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pacote regular,,,,pacote regular,,,,обычный пакет,,,,,,,,,,,,,,,,,,regular package,,,,,,,,,,常规包,,,,,,,
release||releases,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,リリース,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lançamento||lançamentos||liberação,"liberação para soltar trava etc., nova versão é lançamento",,,lançamento||lançamentos||libere||Liberte||lançadas||liberta||libertar||versões||versão||Libertada||Libertadas||Libertado||Libertados,,,,релиз||релизы,,,,,,,,,,,,,,,,реліз||випуск||випуску,,release||releases,,,,,,,,,,发布,,,,,,最終版本,
release date,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data wydania,,,,,,,,data de lançamento,,,,data de lançamento,,,,дата релиза||дата выхода||дата выпуска,,,,,,,,,,,,,,,,дата релізу||дата випуску||дата виходу,,release date,,,,,,,,,,发布日期,,,,,,,
reparse point,noun,An NTFS reparse point is a type of NTFS file system object.,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ponto de nova análise,,,,ponto de reanálise,,,,,,,,,,,,,,,,,,,,,,reparse point,,,,,,,,,,重解析点,"NTFS 重解析点，是 NTFS 文件系统中的一种对象类型。包括 NTFS 符号链接、NTFS 目录结点和 NTFS 卷挂载点。
微软官方各产品中翻译不同，重解析点、重分析点、重新解析点、重新分析点 均有。多数称 重解析点。",,,,,,
return||returns,verb,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zwracać||zwraca,,,,,,,,retorna||retornar||retornam||retornará||retornarão,,,,retorna||retornar||return||retornado||retorne||retornará||devolve||devolva||retornarem||Returns||retornem||retorná-lo||retornarão||devolvem||devolver||devolverá||voltar||devolverão||troca||devolvessem||regressar||regressa||retornava||devolvidas||devolvida||devolvidos||devolvido||devolvia,,,,вернуть,,,,,,,,,,,,,,,,повертати||повернути,,return||returns,,,,,,,,,,返回,,,,,,,
return value||return values,noun,The value returned by a function etc.,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zwracana wartość,,,,,,,,valor de retorno||valores de retorno,,,,valor de retorno||valores de retorno||return value||return values||valor retornado||Retorna o valor||Retorna valores||valor devolvido,,,,возвращаемое значение,,,,,,,,,,,,,,,,результат функції,,return value||return values,,,,,,,,,,返回值,,,,,,,
rich comparison,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,拡張比較,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,comparação rica,,,,comparação rica,,,,богатое сравнение,,,,,,,,,,,,,,,,,,rich comparison,,,,,,,,,,全比较,,,,,,,
root package,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pacote raiz,,,,pacote raiz,,,,корневой пакет,,,,,,,,,,,,,,,,,,root package,,,,,,,,,,根包,,,,,,,
run-time,adjective,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tempo de execução,,,,execução,,,,,,,,,,,,,,,,,,,,,,run-time,,,,,,,,,,运行时,,,,,,,
runtime,adjective,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ランタイム||実行時,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tempo de execução||ambiente de execução,,,,Runtime||execução,,,,,,,,,,,,,,,,,,,,,,runtime,,,,,,,,,,运行时,,,,,,,
